Season,Name,Tm,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,BABIP,wRC,wRAA,wOBA,wRC+,playerId
2026,"Freddie Freeman","LAD",13,0.076923076,0,1,0.363636363,0.461538461,0.636363636,1.097902097,0.272727273,0.3,3.1869119300454827,1.7204373224586218,0.48823493260603684,210.32538484068496,5361
2026,"Jose Altuve","HOU",25,0.28,0.24,1.166666666,0.388888888,0.56,0.444444444,1.004444444,0.055555556,0.583333333,5.782746830573634,2.962603354445057,0.47002473115921023,213.52022706743176,5417
2026,"Salvador Perez","KCR",17,0.058823529,0.117647058,0.5,0.066666666,0.176470588,0.066666666,0.243137254,0,0.076923076,-0.8030363620574097,-2.720733925824843,0.10344744846224785,-46.677451448930704,7304
2026,"Miguel Rojas","LAD",11,0.09090909,0.181818181,0.5,0.4,0.454545454,0.5,0.954545454,0.1,0.5,2.229949135612694,0.9890860061161195,0.4324030171741139,174.06990844230063,7802
2026,"Nolan Arenado","ARI",15,0.066666666,0.2,0.333333333,0.214285714,0.266666666,0.214285714,0.48095238,0,0.272727272,0.7327328254377196,-0.9593532602394274,0.22990011771519978,41.126845736352045,9777
2026,"Andrew McCutchen","TEX",13,0.076923076,0.23076923,0.333333333,0.333333333,0.384615384,0.75,1.134615384,0.416666667,0.375,3.223067552309896,1.7565929447230355,0.4918950841977046,229.68185283538043,9847
2026,"Marcell Ozuna","PIT",12,0.25,0.083333333,3,0.111111111,0.333333333,0.111111111,0.444444444,0,0.125,0.8002617498571181,-0.5534071186845994,0.25337764124075574,55.50281287114175,10324
2026,"Gary Sanchez","MIL",11,0.272727272,0.363636363,0.75,0.375,0.545454545,1.125,1.670454545,0.75,0.5,4.203402261065605,2.9625391315690313,0.6685055873610757,327.6247780775576,11442
2026,"Christian Yelich","MIL",15,0,0.4,0,0.333333333,0.333333333,0.466666666,0.799999999,0.133333333,0.555555555,2.151577166940372,0.45949108126322497,0.35438312689463297,123.64360774622682,11477
2026,"Manny Machado","SDP",12,0.25,0.166666666,1.5,0.333333333,0.5,0.444444444,0.944444444,0.111111111,0.428571428,2.4879505234447583,1.1342816549030406,0.4384654015302658,181.12950604592584,11493
2026,"Bryce Harper","PHI",23,0.130434782,0.086956521,1.5,0.25,0.347826086,0.4,0.747826086,0.15,0.235294117,3.1361708861220046,0.5416388880837127,0.34506137733874115,115.30333451138584,11579
2026,"Willson Contreras","BOS",13,0.307692307,0.076923076,4,0.25,0.538461538,0.625,1.163461538,0.375,0.166666666,3.4157562896646025,1.9492816820777414,0.5114015936851501,237.52604975599354,11609
2026,"Xander Bogaerts","SDP",15,0.066666666,0,1,0.285714285,0.333333333,0.357142857,0.69047619,0.071428572,0.285714285,1.7265772122315397,0.03449112655439296,0.3170955459276835,102.31576839724805,12161
2026,"Marcus Semien","NYM",13,0.076923076,0.076923076,1,0.363636363,0.461538461,0.454545454,0.916083915,0.090909091,0.4,2.5421075516577036,1.0756329440708428,0.42295928184802717,170.63717266602856,12533
2026,"Eugenio Suarez","CIN",16,0.125,0.3125,0.4,0.285714285,0.375,0.5,0.875,0.214285715,0.375,2.784382987509617,0.9794911627873272,0.39463458210229874,144.33292993421594,12552
2026,"Trevor Story","BOS",14,0,0.285714285,0,0.076923076,0.071428571,0.153846153,0.225274724,0.076923077,0.1,-0.7679573450402186,-2.3472376916722224,0.093423673084804,-54.912500969598966,12564
2026,"George Springer","TOR",15,0.133333333,0.2,0.666666666,0.153846153,0.266666666,0.307692307,0.574358973,0.153846154,0.2,1.1777328163794862,-0.5143532692976607,0.26894241174062095,72.86220038301784,12856
2026,"Francisco Lindor","NYM",18,0.222222222,0.111111111,2,0.142857142,0.333333333,0.142857142,0.476190475,0,0.166666666,1.2778926293147936,-0.7526106734977828,0.2590438922246297,64.19571362152769,12916
2026,"Brandon Nimmo","TEX",15,0,0.2,0,0.4,0.4,0.666666666,1.066666666,0.266666666,0.454545454,3.520225986471373,1.828139900794226,0.4744622071584066,217.4849279618671,12927
2026,"Teoscar Hernandez","LAD",13,0.153846153,0.461538461,0.333333333,0.09090909,0.23076923,0.09090909,0.32167832,0,0.2,0.13557439127624313,-1.3309002163106176,0.17933807923243597,9.737558140073146,13066
2026,"Josh Bell","MIN",24,0.166666666,0.375,0.444444444,0.25,0.375,0.5,0.875,0.25,0.4,4.149172283012303,1.441834545928867,0.39313199122746784,158.34079979751957,13145
2026,"Jorge Polanco","NYM",10,0.1,0.2,0.5,0,0.1,0,0.1,0,0,-0.7195854307172983,-1.8476428211687295,0.0709136664867401,-57.970092553964605,13152
2026,"Ildemaro Vargas","ARI",12,0,0,0,0.5,0.5,0.916666666,1.416666666,0.416666666,0.454545454,4.167754874657836,2.814086006116119,0.622688482205073,296.1911609788877,13324
2026,"Christian Walker","HOU",19,0.105263157,0.210526315,0.5,0.235294117,0.315789473,0.529411764,0.845201237,0.294117647,0.25,2.7379555729769787,0.5946465311192592,0.3552575608094533,133.2232943496601,13419
2026,"Jose Ramirez","CLE",15,0.066666666,0,1,0.214285714,0.266666666,0.5,0.766666666,0.285714286,0.153846153,1.9775372038254986,0.28545111814835183,0.33911364475886024,122.55938698771547,13510
2026,"Ketel Marte","ARI",16,0,0.1875,0,0.1875,0.1875,0.25,0.4375,0.0625,0.23076923,0.3680454668568447,-1.4368463578654453,0.19588592648506165,19.039107964609773,13613
2026,"Carson Kelly","CHC",14,0.142857142,0.285714285,0.5,0.25,0.357142857,0.333333333,0.69047619,0.083333333,0.375,1.6974201840185947,0.11813983738659091,0.32517486810684204,105.68008924849701,13620
2026,"Corey Seager","TEX",15,0.2,0.2,1,0.25,0.4,0.25,0.65,0,0.333333333,1.8104215809088926,0.11833549523174572,0.32445167303085326,112.52995060128208,13624
2026,"Rob Refsnyder","SEA",17,0.176470588,0.294117647,0.6,0,0.176470588,0,0.176470588,0,0,-0.5227975411631446,-2.440495104930578,0.1251417643883649,-21.606421008021275,13770
2026,"Byron Buxton","MIN",22,0.09090909,0.272727272,0.333333333,0.2,0.272727272,0.25,0.522727272,0.05,0.285714285,1.384520724050107,-1.0972055349430418,0.248434993353757,57.103441872596925,14161
2026,"Carlos Correa","HOU",19,0.105263157,0.210526315,0.5,0.235294117,0.315789473,0.411764705,0.727554178,0.176470588,0.25,2.104622239643646,-0.03868680221407357,0.31138981382052106,102.5311938324499,14162
2026,"Jorge Soler","LAA",10,0.1,0.4,0.25,0.142857142,0.3,0.142857142,0.442857142,0,0.25,0.5381033338121085,-0.5899540566393228,0.23642958402633668,48.26848543890157,14221
2026,"Matt Olson","ATL",20,0.15,0.3,0.5,0.294117647,0.4,0.647058823,1.047058823,0.352941176,0.4,4.41369982865787,2.157585047755007,0.4560420423746109,188.47261149409184,14344
2026,"Victor Caratini","MIN",24,0.125,0.166666666,0.75,0.2,0.333333333,0.25,0.583333333,0.05,0.25,2.2355235178307034,-0.4718142192527319,0.28819766640663147,84.92342447803351,14968
2026,"Jake Bauers","MIL",11,0.09090909,0.272727272,0.333333333,0.1,0.181818181,0.1,0.281818181,0,0.142857142,-0.1515840247687666,-1.392447154265341,0.1474780331958424,-10.714002650440877,15194
2026,"TJ Friedl","CIN",13,0.076923076,0.23076923,0.333333333,0.166666666,0.23076923,0.166666666,0.397435896,0,0.222222222,0.29057440033447657,-1.175900207252384,0.19502923580316398,14.715544147701348,19522
2026,"Aaron Judge","NYY",10,0.1,0.2,0.5,0.333333333,0.4,1,1.4,0.666666667,0.2,3.2515564864397204,2.123499095988289,0.593528813123703,300.5027882493243,15640
2026,"Miguel Andujar","SDP",12,0.083333333,0.166666666,0.5,0.181818181,0.25,0.272727272,0.522727272,0.090909091,0.222222222,0.716417381179765,-0.6372514873619526,0.24418248236179352,54.96833575416964,15878
2026,"Willy Adames","SFG",19,0.105263157,0.263157894,0.4,0.235294117,0.315789473,0.352941176,0.668730649,0.117647059,0.333333333,2.0620496665859727,-0.08125937527174676,0.3084410303517392,95.3949197387341,15986
2026,"Cody Bellinger","NYY",12,0.083333333,0.083333333,1,0.1,0.166666666,0.1,0.266666666,0,0.1,-0.2774270056140551,-1.6310958741557726,0.13518819709618887,-20.175551164498014,15998
2026,"Austin Slater","MIA",20,0.05,0.4,0.125,0.111111111,0.15,0.111111111,0.261111111,0,0.181818181,-0.5903264655825424,-2.846441246485405,0.1267690032720566,-26.188243986621973,16153
2026,"Trea Turner","PHI",19,0.105263157,0.210526315,0.5,0.058823529,0.157894736,0.117647058,0.275541794,0.058823529,0.076923076,-0.31948349379548807,-2.4627925356532074,0.1434844606801083,-15.594326581529332,16252
2026,"Ryan O'Hearn","PIT",15,0.066666666,0.066666666,1,0.307692307,0.333333333,0.538461538,0.871794871,0.230769231,0.25,2.3713815906193187,0.6792955049421722,0.37366777658462524,133.61541440342833,16442
2026,"Kyle Schwarber","PHI",23,0.086956521,0.434782608,0.2,0.15,0.260869565,0.2,0.460869565,0.05,0.3,1.1286777341465848,-1.4658542638917071,0.23019502733064734,40.712767279908604,16478
2026,"Matt Chapman","SFG",20,0.05,0.25,0.2,0.263157894,0.3,0.368421052,0.668421052,0.105263158,0.357142857,2.0912066947989176,-0.16490808610394506,0.3032182306051254,92.00339910968228,16505
2026,"Mauricio Dubon","ATL",15,0,0.266666666,0,0.266666666,0.266666666,0.4,0.666666666,0.133333334,0.363636363,1.4877328344959533,-0.2043532511811936,0.29614041646321615,84.6375633957933,16530
2026,"Ozzie Albies","ATL",21,0.047619047,0.095238095,0.5,0.315789473,0.333333333,0.47368421,0.807017543,0.157894737,0.294117647,3.0040124791352283,0.6350919591872224,0.35386952615919565,122.12501762140305,16556
2026,"Yandy Diaz","TBR",11,0,0.181818181,0,0.4,0.454545454,0.7,1.154545454,0.3,0.428571428,2.8997535140004724,1.658890384503898,0.5125379508191888,241.75449155016193,16578
2026,"Jonah Heim","ATL",12,0.25,0,3,0.222222222,0.416666666,0.333333333,0.749999999,0.111111111,0.222222222,1.7941061366509379,0.44043726810922035,0.36237192650636035,127.64620693994095,16930
2026,"Lane Thomas","KCR",15,0.2,0.2,1,0.166666666,0.333333333,0.25,0.583333333,0.083333334,0.222222222,1.4165771941150727,-0.2755088915620741,0.2898975412050883,83.77248912700558,16939
2026,"Ramon Laureano","SDP",14,0.071428571,0.142857142,0.5,0.23076923,0.285714285,0.307692307,0.593406592,0.076923077,0.272727272,1.1585758062830083,-0.42070454034899535,0.274522249187742,74.67001877150928,17128
2026,"Yoan Moncada","LAA",12,0.083333333,0.583333333,0.142857142,0,0.166666666,0,0.166666666,0,0,-0.4074270146722886,-1.761095883214006,0.12093117833137512,-32.54005661049179,17232
2026,"Rafael Devers","SFG",23,0.04347826,0.217391304,0.2,0.318181818,0.347826086,0.5,0.847826086,0.181818182,0.375,3.746170904238472,1.1516389062001797,0.379964846631755,141.84021922383505,17350
2026,"Myles Straw","TOR",10,0,0.1,0,0.4,0.4,0.4,0.8,0,0.444444444,1.5169477387223957,0.38889034827096436,0.3652486801147461,140.24294984621278,17620
2026,"Alex Bregman","CHC",17,0.058823529,0.294117647,0.2,0.1875,0.235294117,0.375,0.610294117,0.1875,0.2,1.425851242134922,-0.49184632163251124,0.27599382049897137,73.74347562883493,17678
2026,"Ian Happ","CHC",18,0.111111111,0.388888888,0.285714285,0.25,0.333333333,0.5625,0.895833333,0.3125,0.375,3.1326970258190396,1.1021937230064638,0.3946540421909756,150.7976628925181,17919
2026,"Lawrence Butler","ATH",12,0.166666666,0.25,0.666666666,0.1,0.25,0.1,0.35,0,0.142857142,0.2614173721215315,-1.092251496420186,0.1942829191684723,17.080057604963578,22542
2026,"Jake Cronenworth","SDP",14,0,0.071428571,0,0.142857142,0.142857142,0.142857142,0.285714284,0,0.153846153,-0.37411295824639856,-1.9533933048784022,0.1304459571838379,-18.888559040198942,18036
2026,"Dansby Swanson","CHC",14,0.142857142,0.5,0.285714285,0.09090909,0.214285714,0.09090909,0.305194804,0,0.2,0.00973141043095449,-1.5695489362010493,0.1665282164301191,2.659981644246251,18314
2026,"Kyle Tucker","LAD",14,0.142857142,0.428571428,0.333333333,0.09090909,0.214285714,0.363636363,0.577922077,0.272727273,0,0.9545357888187337,-0.62474455781327,0.25534201519829886,59.092105360552594,18345
2026,"Austin Riley","ATL",17,0.176470588,0.117647058,1.5,0.428571428,0.529411764,0.5,1.029411764,0.071428572,0.5,3.940268779599776,2.022571215832343,0.4706441128955168,197.9547333063689,18360
2026,"Victor Robles","SEA",11,0,0.272727272,0,0.272727272,0.272727272,0.363636363,0.636363635,0.090909091,0.375,0.997260371083287,-0.24360275841328735,0.2849249839782715,90.18602271730089,18363
2026,"Ronald Acuna Jr.","ATL",18,0.166666666,0.166666666,1,0.266666666,0.388888888,0.4,0.788888888,0.133333334,0.333333333,2.726737025166847,0.6962337223542708,0.3649731245305803,129.33534249699738,18401
2026,"Luis Arraez","SFG",22,0.045454545,0.09090909,0.5,0.35,0.38095238,0.5,0.88095238,0.15,0.388888888,3.7955787395343377,1.3138524805411889,0.39266365198861986,150.0864209588421,18568
2026,"Andy Ibanez","ATH",11,0,0.181818181,0,0.181818181,0.181818181,0.181818181,0.363636362,0,0.222222222,0.00341598428946685,-1.2374471452071076,0.16602212732488458,-2.692625596163367,18819
2026,"Josh Naylor","SEA",18,0.055555555,0.222222222,0.25,0.176470588,0.222222222,0.176470588,0.39869281,0,0.23076923,0.3552038829018541,-1.675299419910722,0.19158343142933315,24.87953879900741,18839
2026,"Brandon Lowe","PIT",16,0,0.3125,0,0.0625,0.0625,0.0625,0.125,0,0.09090909,-1.3196433067307956,-3.1245351314530856,0.05707010626792908,-71.9730787577333,18882
2026,"Pete Alonso","BAL",11,0.09090909,0.363636363,0.25,0.1,0.181818181,0.1,0.281818181,0,0.166666666,-0.1515840247687666,-1.392447154265341,0.1474780331958424,-11.249410539144726,19251
2026,"CJ Abrams","WSN",17,0.058823529,0.294117647,0.2,0.25,0.294117647,0.25,0.544117647,0,0.363636363,1.1748912505409626,-0.7428063132264707,0.25656608623616833,59.41404891447684,25768
2026,"Adolis Garcia","PHI",10,0,0.2,0,0.2,0.2,0.2,0.4,0,0.25,0.12925896513475546,-0.9987984253166758,0.18262434005737305,9.821870624319565,19287
2026,"Randy Arozarena","SEA",18,0.111111111,0.222222222,0.5,0.333333333,0.444444444,0.333333333,0.777777777,0,0.454545454,2.845581411960668,0.8150781091480914,0.37366218368212384,152.27106787846523,19290
2026,"Bryan Reynolds","PIT",18,0.166666666,0.277777777,0.6,0.266666666,0.388888888,0.466666666,0.855555554,0.2,0.333333333,3.071541403554627,1.0410381007420504,0.3901827765835656,144.33973199219133,19326
2026,"Eli White","ATL",11,0.09090909,0.181818181,0.5,0.222222222,0.272727272,0.333333333,0.606060605,0.111111111,0.25,0.8422603620250535,-0.3986027674715208,0.2663808898492293,65.31266998252552,19346
2026,"Yordan Alvarez","HOU",25,0.08,0.12,0.666666666,0.47368421,0.56,1.052631578,1.612631578,0.578947368,0.428571428,9.259540194753273,6.439396718624694,0.6530476411183676,341.5723367605968,19556
2026,"Otto Lopez","MIA",20,0.05,0,1,0.421052631,0.45,0.578947368,1.028947368,0.157894737,0.421052631,4.442739800830976,2.1866250199281136,0.4579529196023941,188.8720950533259,19608
2026,"Keibert Ruiz","WSN",10,0,0.2,0,0.2,0.2,0.5,0.7,0.3,0.142857142,1.0740633435225346,-0.05399404692889666,0.3069636583328247,92.14063498179755,19610
2026,"Vladimir Guerrero Jr.","TOR",12,0.25,0,3,0.125,0.416666666,0.5,0.916666666,0.375,0,2.308910505980484,0.9552416374387666,0.4188301960627238,177.73129575453456,19611
2026,"Bo Bichette","NYM",18,0.055555555,0.277777777,0.2,0.235294117,0.277777777,0.294117647,0.571895424,0.05882353,0.333333333,1.3490482696956747,-0.6814550331169016,0.2642462882730696,67.57398473564061,19612
